Name: 德国 OK Salzwedel, URL: http://58bd5b7a98e04.streamlock.net/medienasa-live/ok-salzwedel_high/playlist.m3u8, From: local, IPv_Type: ipv4, Location: 美国, ISP: , Date: None, Delay: 868 ms, Speed: 1.08 M/s, Resolution: 1920x1080
Name: 德国 OK Stendal, URL: http://58bd5b7a98e04.streamlock.net/medienasa-live/mp4:ok-stendal_high/playlist.m3u8, From: local, IPv_Type: ipv4, Location: 美国, ISP: , Date: None, Delay: 868 ms, Speed: 1.08 M/s, Resolution: 1920x1080
Name: 德国 OK Stendal, URL: http://58bd5b7a98e04.streamlock.net/medienasa-live/ok-stendal_high/playlist.m3u8, From: local, IPv_Type: ipv4, Location: 美国, ISP: , Date: None, Delay: 868 ms, Speed: 1.08 M/s, Resolution: 1920x1080
Name: 德国 OK Wernigerode, URL: http://58bd5b7a98e04.streamlock.net/medienasa-live/mp4:ok-wernigerode_high/playlist.m3u8, From: local, IPv_Type: ipv4, Location: 美国, ISP: , Date: None, Delay: 868 ms, Speed: 1.08 M/s, Resolution: 1920x1080
Name: 德国 OK Wernigerode, URL: http://58bd5b7a98e04.streamlock.net/medienasa-live/ok-wernigerode_high/playlist.m3u8, From: local, IPv_Type: ipv4, Location: 美国, ISP: , Date: None, Delay: 868 ms, Speed: 1.08 M/s, Resolution: 1920x1080
Name: 德国 PunktUM, URL: http://58bd5b7a98e04.streamlock.net/medienasa-live/punktum_high/playlist.m3u8, From: local, IPv_Type: ipv4, Location: 美国, ISP: , Date: None, Delay: 868 ms, Speed: 1.08 M/s, Resolution: 1920x1080
Name: 德国 Ran 1, URL: http://58bd5b7a98e04.streamlock.net/medienasa-live/ran1_high/playlist.m3u8, From: local, IPv_Type: ipv4, Location: 美国, ISP: , Date: None, Delay: 868 ms, Speed: 1.08 M/s, Resolution: 1920x1080
Name: 德国 RBW, URL: http://58bd5b7a98e04.streamlock.net/medienasa-live/rbw_high/playlist.m3u8, From: local, IPv_Type: ipv4, Location: 美国, ISP: , Date: None, Delay: 868 ms, Speed: 1.08 M/s, Resolution: 1920x1080
Name: 德国 RFH TV, URL: http://58bd5b7a98e04.streamlock.net/medienasa-live/RFH_high/playlist.m3u8, From: local, IPv_Type: ipv4, Location: 美国, ISP: , Date: None, Delay: 868 ms, Speed: 1.08 M/s, Resolution: 1920x1080
Name: 德国 Tide TV, URL: https://5889e7d0d6e28.streamlock.net/tide-live/smil:livestream.smil/playlist.m3u8, From: local, IPv_Type: ipv4, Location: 美国, ISP: , Date: None, Delay: 2426 ms, Speed: 0.72 M/s, Resolution: 640x360
Name: 德国 Tide TV, URL: https://5889e7d0d6e28.streamlock.net/tide-live/smil:livestream.smil/playlist.m3u8, From: local, IPv_Type: ipv4, Location: 美国, ISP: , Date: None, Delay: 2426 ms, Speed: 0.72 M/s, Resolution: 640x360
Name: 德国Baden TV, URL: http://badentv-stream2.siebnich.info/rtplive/btv.stream/live.m3u8, From: local, IPv_Type: ipv4, Location: 德国, ISP: , Date: None, Delay: 3981 ms, Speed: 1.12 M/s, Resolution: 1920x1080
Name: 德国Baden TV, URL: http://badentv-stream2.siebnich.info/rtplive/btv.stream/live.m3u8, From: local, IPv_Type: ipv4, Location: 德国, ISP: , Date: None, Delay: 3981 ms, Speed: 1.12 M/s, Resolution: 1920x1080
